
[Onsemi AR0147 regdump]
REG= 0x2710, 0x0000
REG= 0x2712, 0x0000
REG= 0x2714, 0x0000
REG= 0x2716, 0x0000
REG= 0x2718, 0xFFFD
REG= 0x271A, 0xFFFD
REG= 0x271C, 0xFFFF
REG= 0x271E, 0xFFFE
REG= 0x2720, 0x0000
REG= 0x2722, 0x0000
REG= 0x2724, 0x0000
REG= 0x2726, 0x0000
REG= 0x2728, 0x0000
REG= 0x272A, 0x0000
REG= 0x272C, 0x0000
REG= 0x272E, 0x0000
REG= 0x2730, 0x0000
REG= 0x2732, 0x0000
REG= 0x2734, 0x0000
REG= 0x2736, 0x0000
REG= 0x2738, 0x0000
REG= 0x273A, 0x0000
REG= 0x273C, 0x0000
REG= 0x273E, 0x0000
REG= 0x2740, 0x0000
REG= 0x2742, 0x0000
REG= 0x2744, 0x0000
REG= 0x2746, 0x0000
REG= 0x2748, 0x0000
REG= 0x274A, 0x0000
REG= 0x274C, 0x0000
REG= 0x274E, 0x0000
REG= 0x2750, 0x0000
REG= 0x2752, 0x0000
REG= 0x2754, 0x0000
REG= 0x2756, 0x0000
REG= 0x2758, 0x0000
REG= 0x275A, 0x0000
REG= 0x275C, 0x0000
REG= 0x275E, 0x0000
REG= 0x2760, 0x0000
REG= 0x2762, 0x0000
REG= 0x2764, 0x0000
REG= 0x2766, 0x0000
REG= 0x2768, 0x0000
REG= 0x276A, 0x0000
REG= 0x276C, 0x0000
REG= 0x276E, 0x0000
REG= 0x2770, 0x0000
REG= 0x2772, 0x0000
REG= 0x2774, 0x0000
REG= 0x2776, 0x0000
REG= 0x2778, 0x0000
REG= 0x277A, 0x0000
REG= 0x277C, 0x0000
REG= 0x277E, 0x0000
REG= 0x2780, 0x0000
REG= 0x2782, 0x0000
REG= 0x2784, 0x0000
REG= 0x2786, 0x0000
REG= 0x2788, 0x0000
REG= 0x278A, 0x0000
REG= 0x278C, 0x0000
REG= 0x278E, 0x0000
REG= 0x2790, 0x0000
REG= 0x2792, 0x0000
REG= 0x2794, 0x0000
REG= 0x2796, 0x0000
REG= 0x2798, 0x0000
REG= 0x279A, 0x0000
REG= 0x279C, 0x0000
REG= 0x279E, 0x0000
REG= 0x27A0, 0x0000
REG= 0x27A2, 0x0000
REG= 0x27A4, 0x0000
REG= 0x27A6, 0x0000
REG= 0x27A8, 0x0000
REG= 0x27AA, 0x0000
REG= 0x27AC, 0x0000
REG= 0x27AE, 0x0000
REG= 0x27B0, 0x0000
REG= 0x27B2, 0x0000
REG= 0x27B4, 0x0000
REG= 0x27B6, 0x0000
REG= 0x27B8, 0x0000
REG= 0x27BA, 0x0000
REG= 0x27BC, 0x0000
REG= 0x27BE, 0x0000
REG= 0x27C0, 0x0000
REG= 0x27C2, 0x0000
REG= 0x27C4, 0x0000
REG= 0x27C6, 0x0000
REG= 0x27C8, 0x0000
REG= 0x27CA, 0x0000
REG= 0x27CC, 0x0000
REG= 0x27CE, 0x0000
