
[ISP CONFIG DUMP]
CONF= 0x13C, 0x00
CONF= 0x13D, 0x00
CONF= 0x13E, 0x00
CONF= 0x13F, 0x00
CONF= 0x140, 0x80
CONF= 0x141, 0x40
CONF= 0x142, 0x00
CONF= 0x143, 0x00
CONF= 0x144, 0x00
CONF= 0x145, 0x00
CONF= 0x146, 0x00
CONF= 0x147, 0x00
CONF= 0x148, 0x00
CONF= 0x149, 0x00
CONF= 0x14A, 0x00
CONF= 0x14B, 0x00
CONF= 0x14C, 0x00
CONF= 0x14D, 0x00
CONF= 0x14E, 0x00
CONF= 0x14F, 0x00
CONF= 0x150, 0x00
CONF= 0x151, 0x00
CONF= 0x152, 0x00
CONF= 0x153, 0x00
CONF= 0x154, 0x00
CONF= 0x155, 0x00
CONF= 0x156, 0x00
CONF= 0x157, 0x00
CONF= 0x158, 0x00
CONF= 0x159, 0x00
CONF= 0x15A, 0x01
CONF= 0x15B, 0x00
CONF= 0x15C, 0x01
CONF= 0x15D, 0x00
CONF= 0x15E, 0xFF
CONF= 0x15F, 0x00
CONF= 0x160, 0xA0
CONF= 0x161, 0x00
CONF= 0x162, 0x00
CONF= 0x163, 0x00
CONF= 0x164, 0x04
CONF= 0x165, 0x00
CONF= 0x166, 0x00
CONF= 0x167, 0x00
CONF= 0x168, 0x00
CONF= 0x169, 0x00
CONF= 0x16A, 0x00
CONF= 0x16B, 0x00
CONF= 0x16C, 0x00
CONF= 0x16D, 0x00
CONF= 0x16E, 0x00
CONF= 0x16F, 0x00
CONF= 0x170, 0x00
CONF= 0x171, 0x00
CONF= 0x172, 0x01
CONF= 0x173, 0x00
CONF= 0x174, 0xDC
CONF= 0x175, 0x00
CONF= 0x176, 0x01
CONF= 0x177, 0x00
CONF= 0x178, 0x01
CONF= 0x179, 0x00
CONF= 0x17A, 0x73
CONF= 0x17B, 0x00
CONF= 0x17C, 0x01
CONF= 0x17D, 0x00
CONF= 0x17E, 0x01
CONF= 0x17F, 0x00
CONF= 0x180, 0xA0
CONF= 0x181, 0x0F
CONF= 0x182, 0x00
CONF= 0x183, 0x00
CONF= 0x184, 0xFF
CONF= 0x185, 0xFF
CONF= 0x186, 0x00
CONF= 0x187, 0x00
CONF= 0x188, 0x00
CONF= 0x189, 0x00
CONF= 0x18A, 0xFF
CONF= 0x18B, 0xFF
CONF= 0x18C, 0x00
CONF= 0x18D, 0x00
CONF= 0x18E, 0x00
CONF= 0x18F, 0x00
CONF= 0x190, 0x00
CONF= 0x191, 0x00
CONF= 0x192, 0x00
CONF= 0x193, 0x00
CONF= 0x194, 0x00
CONF= 0x195, 0x00
CONF= 0x196, 0x1E
CONF= 0x197, 0x00
CONF= 0x198, 0x3C
CONF= 0x199, 0x00
CONF= 0x19A, 0x00
CONF= 0x19B, 0x00
CONF= 0x19C, 0x80
CONF= 0x19D, 0x00
CONF= 0x19E, 0x00
CONF= 0x19F, 0x00
CONF= 0x1A0, 0x32
CONF= 0x1A1, 0x00
CONF= 0x1A2, 0x01
CONF= 0x1A3, 0xFF
CONF= 0x1A4, 0x01
CONF= 0x1A5, 0x1B
CONF= 0x1A6, 0x00
CONF= 0x1A7, 0x00
CONF= 0x1A8, 0x00
CONF= 0x1A9, 0x00
CONF= 0x1AA, 0x00
CONF= 0x1AB, 0x00
CONF= 0x1AC, 0x00
CONF= 0x1AD, 0x00
CONF= 0x1AE, 0x00
CONF= 0x1AF, 0x00
CONF= 0x1B0, 0x00
CONF= 0x1B1, 0x00
CONF= 0x1B2, 0x01
CONF= 0x1B3, 0x00
CONF= 0x1B4, 0x00
CONF= 0x1B5, 0x00
CONF= 0x1B6, 0x00
CONF= 0x1B7, 0x00
CONF= 0x1B8, 0x00
CONF= 0x1B9, 0x00
CONF= 0x1BA, 0x00
CONF= 0x1BB, 0x00
CONF= 0x1BC, 0x00
CONF= 0x1BD, 0x01
CONF= 0x1BE, 0x5B
CONF= 0x1BF, 0x00
CONF= 0x1C0, 0x00
CONF= 0x1C1, 0x00
CONF= 0x1C2, 0x00
CONF= 0x1C3, 0x00
CONF= 0x1C4, 0x00
CONF= 0x1C5, 0x00
CONF= 0x1C6, 0x00
CONF= 0x1C7, 0x00
CONF= 0x1C8, 0x00
CONF= 0x1C9, 0x00
CONF= 0x1CA, 0x00
CONF= 0x1CB, 0x00
CONF= 0x1CC, 0x00
CONF= 0x1CD, 0x00
CONF= 0x1CE, 0x00
CONF= 0x1CF, 0x00
CONF= 0x1D0, 0x00
CONF= 0x1D1, 0x00
CONF= 0x1D2, 0x00
CONF= 0x1D3, 0x00
CONF= 0x1D4, 0x00
CONF= 0x1D5, 0x00
CONF= 0x1D6, 0x00
CONF= 0x1D7, 0x00
CONF= 0x1D8, 0x00
CONF= 0x1D9, 0x00
CONF= 0x1DA, 0x00
CONF= 0x1DB, 0x00
CONF= 0x1DC, 0xC0
CONF= 0x1DD, 0x5D
CONF= 0x1DE, 0x00
CONF= 0x1DF, 0x00
CONF= 0x1E0, 0x00
CONF= 0x1E1, 0x00
CONF= 0x1E2, 0x00
CONF= 0x01e3‚ÍWrite‹ÖŽ~
CONF= 0x1E4, 0x00
CONF= 0x1E5, 0x00
CONF= 0x1E6, 0x00
CONF= 0x1E7, 0x00
CONF= 0x1E8, 0x02
CONF= 0x1E9, 0x64
CONF= 0x1EA, 0x00
CONF= 0x1EB, 0x00
CONF= 0x1EC, 0x64
CONF= 0x1ED, 0x00
CONF= 0x1EE, 0x14
CONF= 0x1EF, 0x02
CONF= 0x1F0, 0x96
CONF= 0x1F1, 0x00
CONF= 0x1F2, 0x33
CONF= 0x1F3, 0x02
CONF= 0x1F4, 0x02
CONF= 0x1F5, 0x85
CONF= 0x1F6, 0x02
CONF= 0x1F7, 0x02
CONF= 0x1F8, 0xA7
CONF= 0x1F9, 0x96
CONF= 0x1FA, 0x00
CONF= 0x1FB, 0xF9
CONF= 0x1FC, 0x96
CONF= 0x1FD, 0x00
CONF= 0x1FE, 0x08
CONF= 0x1FF, 0x00
CONF= 0x200, 0x00
CONF= 0x201, 0x09
CONF= 0x202, 0x00
CONF= 0x203, 0x00
CONF= 0x204, 0x0A
CONF= 0x205, 0x00
CONF= 0x206, 0x00
CONF= 0x207, 0x0B
CONF= 0x208, 0x00
CONF= 0x209, 0x00
CONF= 0x20A, 0x00
CONF= 0x20B, 0x00
CONF= 0x20C, 0x00
CONF= 0x20D, 0x00
CONF= 0x20E, 0x00
CONF= 0x20F, 0x00
CONF= 0x210, 0x00
CONF= 0x211, 0x00
CONF= 0x212, 0x00
CONF= 0x213, 0x00
CONF= 0x214, 0x00
CONF= 0x215, 0x00
CONF= 0x216, 0x00
CONF= 0x217, 0x00
CONF= 0x218, 0x00
CONF= 0x219, 0x00
CONF= 0x21A, 0x3F
CONF= 0x21B, 0x3E
CONF= 0x21C, 0x00
CONF= 0x21D, 0x24
CONF= 0x21E, 0x0a
CONF= 0x21F, 0x00
CONF= 0x220, 0x05
CONF= 0x221, 0x00
CONF= 0x222, 0x00
CONF= 0x223, 0x00
CONF= 0x224, 0x00
CONF= 0x225, 0x00
CONF= 0x226, 0x00
CONF= 0x227, 0x00
CONF= 0x228, 0x00
CONF= 0x229, 0x00
CONF= 0x22A, 0x00
CONF= 0x22B, 0x00
CONF= 0x22C, 0x00
